Frame,Left Eye H,Left Eye V,Right Eye H,Right Eye V,Avg H,Avg V,Fixation
1.0,280.0,164.0,381.0,158.0,330.5,161.0,0
2.0,280.0,165.0,381.0,158.0,330.5,161.5,0
3.0,279.0,165.0,381.0,158.0,330.0,161.5,0
4.0,278.0,163.0,380.0,157.0,329.0,160.0,0
5.0,274.0,163.0,376.0,156.0,325.0,159.5,0
6.0,274.0,164.0,375.0,156.0,324.5,160.0,0
7.0,274.0,163.0,376.0,156.0,325.0,159.5,0
8.0,274.0,164.0,375.0,157.0,324.5,160.5,0
9.0,272.0,165.0,375.0,157.0,323.5,161.0,0
10.0,273.0,166.0,376.0,159.0,324.5,162.5,0
11.0,274.0,167.0,376.0,160.0,325.0,163.5,0
12.0,274.0,167.0,377.0,160.0,325.5,163.5,0
13.0,274.0,166.0,377.0,160.0,325.5,163.0,0
14.0,276.0,168.0,379.0,161.0,327.5,164.5,0
15.0,276.0,167.0,379.0,161.0,327.5,164.0,0
16.0,276.0,167.0,378.0,160.0,327.0,163.5,0
17.0,275.0,168.0,378.0,160.0,326.5,164.0,0
18.0,274.0,168.0,377.0,160.0,325.5,164.0,0
19.0,274.0,168.0,377.0,160.0,325.5,164.0,0
20.0,273.0,169.0,367.0,161.0,320.0,165.0,0
21.0,263.0,168.0,366.0,161.0,314.5,164.5,0
22.0,273.0,169.0,366.0,161.0,319.5,165.0,0
23.0,272.0,169.0,375.0,160.0,323.5,164.5,0
24.0,272.0,168.0,374.0,160.0,323.0,164.0,0
25.0,283.0,167.0,374.0,160.0,328.5,163.5,0
26.0,285.0,167.0,388.0,161.0,336.5,164.0,0
27.0,283.0,169.0,387.0,161.0,335.0,165.0,0
28.0,284.0,168.0,389.0,161.0,336.5,164.5,0
29.0,273.0,168.0,376.0,161.0,324.5,164.5,0
30.0,273.0,170.0,377.0,161.0,325.0,165.5,0
31.0,273.0,170.0,368.0,161.0,320.5,165.5,0
32.0,273.0,170.0,365.0,162.0,319.0,166.0,0
33.0,273.0,170.0,364.0,162.0,318.5,166.0,0
34.0,261.0,170.0,365.0,162.0,313.0,166.0,0
35.0,273.0,171.0,367.0,161.0,320.0,166.0,0
36.0,273.0,170.0,367.0,161.0,320.0,165.5,0
37.0,272.0,169.0,375.0,161.0,323.5,165.0,0
38.0,272.0,167.0,375.0,161.0,323.5,164.0,0
39.0,286.0,168.0,390.0,161.0,338.0,164.5,0
40.0,286.0,167.0,389.0,161.0,337.5,164.0,0
41.0,274.0,168.0,377.0,160.0,325.5,164.0,0
42.0,275.0,169.0,377.0,161.0,326.0,165.0,0
43.0,274.0,170.0,368.0,161.0,321.0,165.5,0
44.0,274.0,171.0,367.0,164.0,320.5,167.5,0
45.0,274.0,173.0,377.0,165.0,325.5,169.0,0
46.0,274.0,172.0,367.0,164.0,320.5,168.0,0
47.0,262.0,171.0,368.0,164.0,315.0,167.5,0
48.0,263.0,170.0,365.0,162.0,314.0,166.0,0
49.0,261.0,169.0,365.0,162.0,313.0,165.5,0
50.0,263.0,169.0,367.0,162.0,315.0,165.5,0
51.0,286.0,168.0,389.0,160.0,337.5,164.0,0
52.0,287.0,168.0,390.0,161.0,338.5,164.5,0
53.0,288.0,168.0,391.0,161.0,339.5,164.5,0
54.0,288.0,168.0,392.0,162.0,340.0,165.0,0
55.0,289.0,168.0,391.0,161.0,340.0,164.5,0
56.0,288.0,167.0,393.0,162.0,340.5,164.5,0
57.0,289.0,168.0,391.0,161.0,340.0,164.5,0
58.0,275.0,168.0,389.0,162.0,332.0,165.0,0
59.0,275.0,169.0,378.0,162.0,326.5,165.5,0
60.0,275.0,170.0,378.0,163.0,326.5,166.5,0
61.0,274.0,170.0,366.0,162.0,320.0,166.0,0
62.0,274.0,170.0,365.0,162.0,319.5,166.0,0
