StartX,StartY,EndX,EndY
325.5,164.0,320.0,165.0
320.0,165.0,314.5,164.5
314.5,164.5,319.5,165.0
323.0,164.0,328.5,163.5
328.5,163.5,336.5,164.0
336.5,164.5,324.5,164.5
318.5,166.0,313.0,166.0
313.0,166.0,320.0,166.0
323.5,164.0,338.0,164.5
337.5,164.0,325.5,164.0
326.0,165.0,321.0,165.5
320.5,167.5,325.5,169.0
325.5,169.0,320.5,168.0
320.5,168.0,315.0,167.5
315.0,165.5,337.5,164.0
340.0,164.5,332.0,165.0
332.0,165.0,326.5,165.5
326.5,166.5,320.0,166.0
320.5,166.5,314.5,165.5
314.5,165.5,324.5,165.0
325.5,164.5,330.5,164.0
330.5,164.0,338.0,164.5
336.5,164.0,314.0,165.5
314.0,165.5,320.0,166.0
320.0,166.0,313.5,166.0
313.5,166.0,321.0,166.0
321.0,166.0,325.5,163.5
325.5,163.5,334.5,163.5
341.5,164.0,328.5,164.0
327.5,164.5,339.5,165.0
341.0,165.0,327.5,164.0
327.0,164.5,322.0,166.5
319.5,166.0,325.0,165.0
325.5,164.5,336.0,164.5
341.5,165.0,325.0,169.0
325.0,169.0,335.5,167.5
336.0,165.5,342.0,166.0
342.0,166.0,328.5,165.5
329.0,166.0,323.5,166.5
328.0,164.5,339.0,164.0
341.5,164.0,335.0,164.0
335.0,164.0,316.0,167.5
316.0,165.5,322.5,166.0
327.0,170.5,338.0,169.5
337.5,169.5,331.0,170.0
331.0,170.0,323.5,169.5
323.5,169.5,318.0,170.0
316.5,169.0,322.0,169.0
323.5,169.0,338.0,168.0
339.5,167.5,330.0,172.5
325.0,171.5,338.0,168.5
339.5,167.5,326.0,170.5
